name        |ra        |dec      |lim_mag1|mag1|type1|type1_flag|type2|type2_flag|orbital_period|orbital_period_flag|alt_name    |lii     |bii     |acc_pos|type3|type3_flag|type4|type4_flag|mag1_flag|lim_mag2|mag2|mag2_flag|lim_mag3|mag3|mag3_flag|lim_mag4|mag4|mag4_flag|interval|interval2|period2   |period2_flag|period3   |period3_flag|period4   |period4_flag|eclipse|sb|spect_type_2|spect_type_1|lim_mass_ratio|mass_ratio|mass_ratio_flag|mass_ratio_error|lim_inclination|inclination|inclination_flag|inclination_error|lim_m1|m1   |m1_flag|m1_error|lim_m2|m2   |m2_flag|m2_error|class                    |
J1007-2017  |10 07 34.6|-20 17 33|        |16.0|NL   |          |AM   |          |      0.144864|                   |            |258.6992| 28.1762|1      |     |          |     |          |         |        |    |         |        |19.4|         |        |20.0|         |        |         |          |            |          |            |          |            |       |1 |            |M3/5        |              |          |               |                |               |       73.0|                |              1.0|      |0.800|       |   0.150|      |0.350|       |   0.050|        CV AM HER (POLAR)|
IM Eri      |04 24 41.1|-20 07 12|        |11.1|NL   |          |UX   |          |      0.145635|                   |0422-2014   |216.7566|-41.0058|1      |SW   |?         |NS   |          |         |        |13.0|         |        |    |         |        |    |         |        |         |  0.138410|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
V2527 Oph   |17 22 04.4|-19 49 09|        |19.0|DN   |          |SU   |          |      0.070000|E                  |            |  4.8218|  9.4195|1      |     |          |     |          |         |        |    |         |        |    |         |        |13.4|         |        |         |  0.071900|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
IW Eri      |04 25 55.2|-19 45 30|        |16.6|NL   |          |AM   |          |      0.060500|:                  |J0425-1945  |216.4308|-40.6131|1      |     |          |     |          |         |        |18.0|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
J0945-1944  |09 45 51.0|-19 44 01|        |16.5|DN   |          |SU   |          |      0.065769|                   |            |254.1226| 25.0734|1      |     |          |     |          |         |        |19.4|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J2054-1940  |20 54 08.2|-19 40 27|        |20.3|DN   |          |SU   |          |      0.092000|E                  |            | 27.2493|-35.5244|1      |     |          |     |          |B        |        |    |         |        |    |         |        |16.4|         |        |         |  0.096000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0942-1936  |09 42 52.3|-19 36 52|        |19.5|DN   |          |     |          |      0.147000|                   |            |253.4882| 24.6557|2      |     |          |     |          |r        |        |    |         |        |15.2|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
J1002-1925  |10 02 11.7|-19 25 38|        |17.0|NL   |          |AM   |          |      0.069370|:                  |            |256.9776| 27.9703|1      |     |          |     |          |         |        |    |         |        |20.4|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
J1654-1916  |16 54 43.7|-19 16 31|        |15.6|NL   |          |IP   |          |      0.154800|                   |            |  1.5039| 15.0129|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |   546.661|            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
VV Pup      |08 15 06.7|-19 03 17|        |13.2|NL   |          |AM   |          |      0.069747|                   |            |239.6517|  8.7129|1      |     |          |     |          |         |        |15.3|         |        |15.5|         |        |19.6|         |        |         |          |            |          |            |          |            |       |1 |M6-7/5      |            |              |          |               |                |               |       75.0|                |              6.0|      |0.730|       |   0.050|      |0.100|       |   0.020|        CV AM HER (POLAR)|
J1405-1902  |14 05 22.9|-19 02 09|        |21.0|DN   |          |SU   |          |      0.060000|:                  |            |326.1392| 40.4802|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.2|         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0449-1841  |04 49 02.7|-18 41 29|        |17.7|DN   |          |     |          |      0.155540|                   |            |217.5146|-35.1174|1      |     |          |     |          |r        |        |18.2|         |        |15.6|         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
J1959-1833  |19 59 18.0|-18 33 31|        |21.0|DN   |          |SU   |          |      0.070000|E                  |            | 23.1010|-23.0366|1      |     |          |     |          |         |        |    |         |        |    |         |        |14.8|         |        |         |  0.071800|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
TV Crv      |12 20 24.2|-18 27 02|        |18.7|DN   |          |SU   |          |      0.062900|                   |N Crv 1931  |292.7111| 43.8044|1      |     |          |     |          |         |        |19.0|         |        |    |         |        |13.1|         |        |420      |  0.065000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1417-1803  |14 17 12.0|-18 03 28|        |19.7|DN   |          |     |          |      0.084500|                   |            |330.0229| 40.2596|1      |     |          |     |          |r        |        |20.0|r        |        |15.1|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
WX Cet      |01 17 04.2|-17 56 23|        |17.5|DN   |          |SU   |          |      0.058261|                   |N Cet 1963  |157.0076|-79.0756|1      |WZ   |          |     |          |         |        |18.5|         |        |12.5|         |        |10.8|         |200     |880      |  0.059500|            |          |            |          |            |       |1 |            |            |              |     11.80|:              |                |               |           |                |                 |      |0.550|:      |   0.150|      |0.047|:      |   0.013|CV DWARF NOVA SU UMA TYPE|
J1443-1755  |14 43 41.9|-17 55 49|        |20.0|DN   |          |SU   |          |      0.070200|                   |            |337.2066| 37.3597|1      |     |          |     |          |B        |        |    |         |        |    |         |        |13.6|         |        |         |  0.072200|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
U Sco       |16 22 30.8|-17 52 44|        |18.5|Nr   |          |     |          |      1.230547|                   |N Sco 1987  |357.6684| 21.8685|1      |     |          |     |          |B        |        |20.5|B        |        | 7.5|         |        |    |         |4000    |         |          |            |          |            |          |            |1      |2 |K2/4        |            |              |      1.82|               |            0.23|               |       82.7|                |              2.9|      |1.550|       |   0.240|      |0.880|       |   0.170|        CV RECURRENT NOVA|
AX Cap      |20 08 57.0|-17 16 38|        |21.5|DN   |          |SU   |          |      0.109000|E                  |            | 25.3530|-24.6704|1      |     |          |     |          |         |        |    |         |        |16.0|p        |        |    |         |        |         |  0.116000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0734-1706  |07 34 18.6|-17 06 27|        |17.8|NL   |          |SW   |?         |      0.132726|                   |            |232.9888|  1.3786|1      |     |          |     |          |         |        |20.8|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
J0506-1659  |05 06 59.2|-16 59 32|        |19.3|DN   |          |SU   |          |      0.061000|E                  |            |217.4699|-30.5225|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.5|         |        |         |  0.062500|:           |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0354-1652  |03 54 10.3|-16 52 50|        |17.2|NL   |          |AM   |?         |      0.033600|:                  |RBS 490     |209.0547|-46.6674|1      |     |          |     |          |         |        |18.4|:        |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
HL CMa      |06 45 17.2|-16 51 35|        |13.2|DN   |          |ZC   |          |      0.216787|                   |            |227.3757| -8.9230|2      |     |          |     |          |         |        |14.5|         |        |11.0|         |        |11.8|         |14-19   |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |       45.0|:               |                 |      |1.000|:      |        |      |0.450|       |   0.100| CV DWARF NOVA Z CAM TYPE|
V2540 Oph   |17 37 34.4|-16 23 18|&gt;       |21.0|Nb   |          |     |          |      0.284781|                   |N Oph 2002  |  9.7504|  8.1515|1      |     |          |     |          |B        |        |    |         |        | 8.1|         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |   CV CLASSICAL NOVA SLOW|
EQ CMa      |06 48 51.6|-16 18 03|        |11.9|CV   |?         |     |          |      2.291500|                   |            |227.2456| -7.9086|1      |     |          |     |          |p        |        |12.9|p        |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
V442 Oph    |17 32 15.1|-16 15 22|        |12.6|NL   |          |VY   |          |      0.124330|                   |            |  9.1851|  9.3072|1      |SW   |          |NS   |          |         |        |    |         |        |14.0|         |        |15.5|         |        |         |  0.120900|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
J0746-1611  |07 46 17.1|-16 11 28|        |14.5|NL   |          |     |          |      0.391010|                   |            |233.6010|  4.3268|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |2 |K2-6/5      |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
J0243-1603  |02 43 54.1|-16 03 14|        |20.1|DN   |          |SU   |          |      0.061000|E                  |            |195.7107|-61.6969|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.2|         |        |         |  0.062100|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J2333-1557  |23 33 13.0|-15 57 44|        |21.3|DN   |          |SU   |          |      0.042830|                   |            | 60.5496|-68.7036|1      |     |          |     |          |B        |        |    |         |        |    |         |        |17.2|         |        |         |  0.043800|            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
SY Cap      |20 29 47.5|-15 54 38|        |18.8|DN   |          |SU   |          |      0.062500|E                  |            | 28.9082|-28.7597|1      |     |          |     |          |B        |        |    |         |        |    |         |        |13.0|         |        |         |  0.063800|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1025-1542  |10 25 22.0|-15 42 24|        |19.3|DN   |          |SU   |          |      0.061360|                   |            |258.9561| 34.4100|       |WZ   |          |     |          |B        |        |    |         |        |    |         |        |12.2|         |        |         |  0.063400|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1200-1526  |12 00 52.9|-15 26 21|        |18.3|DN   |          |SU   |          |      0.093000|E                  |            |285.3549| 45.7001|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.1|         |        |         |  0.097700|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
XZ Eri      |04 11 25.8|-15 23 24|        |18.8|DN   |          |SU   |          |      0.061159|                   |            |209.3362|-42.2677|1      |     |          |     |          |         |        |20.6|         |        |14.1|         |        |13.5|         |        |396:     |  0.062800|            |          |            |          |            |2      |2 |            |            |              |      8.47|               |            0.22|               |       80.0|                |              0.1|      |0.770|       |   0.020|      |0.091|       |   0.004|CV DWARF NOVA SU UMA TYPE|
J1316-1513  |13 16 25.7|-15 13 13|        |20.5|DN   |          |SU   |          |      0.091000|E                  |            |311.8259| 47.2194|1      |     |          |     |          |B        |        |    |         |        |    |         |        |15.9|         |        |         |  0.096000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1612-1509  |16 12 21.3|-15 09 39|        |21.5|DN   |          |SU   |          |      0.068000|E                  |            |358.1996| 25.4848|1      |     |          |     |          |j        |        |    |         |        |    |         |        |15.4|         |        |         |  0.070000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J2230-1458  |22 30 03.0|-14 58 35|        |21.0|DN   |          |SU   |          |      0.058300|:                  |            | 45.9589|-54.9956|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.4|         |        |         |  0.058400|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1804-1456  |18 04 38.9|-14 56 47|        |18.0|NL   |          |IP   |:         |              |                   |            | 14.3068|  3.2521|1      |     |          |     |          |R        |        |    |         |        |    |         |        |    |         |        |         |          |            |  1400.000|:           |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
UZ Ser      |18 11 24.9|-14 55 34|        |16.2|DN   |          |ZC   |          |      0.175890|                   |            | 15.1168|  1.8318|1      |     |          |     |          |         |        |17.2|         |        |12.4|         |        |    |         |9-14    |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA Z CAM TYPE|
HP Lib      |15 35 53.1|-14 13 12|        |13.6|NL   |          |AC   |          |      0.012763|                   |EC 1533-1403|352.0562| 32.5466|1      |SH   |          |     |          |         |        |13.8|         |        |    |         |        |    |         |        |         |  0.012950|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |       30.0|:               |              4.0|      |0.650|:      |   0.160|      |0.068|:      |   0.020|             CV NOVA LIKE|
J1050-1404  |10 50 11.0|-14 04 37|        |17.5|DN   |          |WZ   |?         |      0.061500|:                  |            |263.6385| 39.3700|1      |     |          |     |          |         |        |17.8|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V667 Pup    |07 32 37.7|-13 31 08|        |15.7|NL   |          |IP   |          |      0.233800|                   |            |229.6484|  2.7566|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |   512.420|            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
AH Eri      |04 22 38.1|-13 21 30|        |17.7|DN   |          |UG   |?         |      0.239100|                   |            |208.3130|-38.9681|1      |IP   |?         |     |          |         |        |18.5|         |        |13.8|         |        |    |         |        |         |          |            |          |            |  2500.000|:           |       |1 |M3-5/5      |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA U GEM TYPE|
J1444-1311  |14 44 53.0|-13 11 18|        |20.3|DN   |          |SU   |          |      0.080000|E                  |            |340.8501| 41.1835|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.4|         |        |         |  0.082600|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V1059 Sgr   |19 01 50.4|-13 09 43|        |18.1|Na   |          |     |          |      0.286100|                   |N sgr 1898  | 22.3053| -8.2301|1      |     |          |     |          |B        |        |    |         |        | 4.9|p        |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |   CV CLASSICAL NOVA FAST|
UY Pup      |07 46 31.2|-12 57 09|        |15.3|DN   |          |ZC   |          |      0.479269|                   |            |230.8065|  5.9840|1      |     |          |     |          |         |        |16.1|         |        |13.3|         |        |    |         |85      |         |          |            |          |            |          |            |       |2 |K2-6/5      |            |              |      1.10|:              |            0.10|               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA Z CAM TYPE|
J1626-1255  |16 26 19.9|-12 55 56|        |20.1|DN   |          |     |          |      0.075460|                   |            |  2.4695| 24.2794|1      |     |          |     |          |r        |        |21.9|r        |        |16.9|         |        |    |         |300:    |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
V841 Oph    |16 59 30.3|-12 53 27|        |13.2|Nb   |          |     |          |      0.601304|                   |N Oph 1848  |  7.6210| 17.7787|1      |     |          |     |          |         |        |14.0|         |        | 4.2|         |        |    |         |        |         |          |            |          |            |          |            |       |2 |K1-5        |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |   CV CLASSICAL NOVA SLOW|
RY Ser      |17 23 07.2|-12 48 09|        |16.4|DN   |          |     |          |      0.300900|                   |            | 10.9720| 13.0135|1      |     |          |     |          |         |        |18.0|B        |        |13.2|         |        |    |         |        |         |          |            |          |            |          |            |       |2 |K4-6/5      |            |              |      1.20|               |            0.20|               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
J0756-1246  |07 56 48.9|-12 46 54|        |16.3|NL   |          |SW   |?         |      0.145000|:                  |            |231.9215|  8.2425|1      |     |          |     |          |         |        |16.6|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
J1830-1232  |18 30 49.9|-12 32 19|        |17.9|NL   |          |IP   |          |      0.223900|                   |            | 19.4445| -1.2025|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |  1820.000|            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |0.850|       |   0.060|      |     |       |        |    CV INTERMEDIATE POLAR|
J2149-1219  |21 49 34.2|-12 19 08|        |    |DN   |          |SU   |          |      0.069000|E                  |            | 42.9117|-44.9979|1      |     |          |     |          |         |        |    |         |        |    |         |        |15.3|         |        |         |  0.070000|:           |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0009-1210  |00 09 38.2|-12 10 16|        |19.9|DN   |          |SU   |          |      0.086200|E                  |            | 87.6626|-72.1175|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.4|         |        |         |  0.089900|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
PHL 1445    |02 42 42.9|-11 46 45|        |17.0|DN   |?         |     |          |      0.052985|                   |            |187.9244|-59.7273|1      |     |          |     |          |         |        |19.7|         |        |15.7|         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
TT Crt      |11 34 47.2|-11 45 30|        |15.9|DN   |          |UG   |          |      0.268420|                   |            |274.8785| 46.8956|1      |     |          |     |          |         |        |16.3|         |        |12.7|         |        |    |         |        |         |          |            |          |            |          |            |       |2 |K5-M0/5     |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA U GEM TYPE|
J0902-1130  |09 02 10.2|-11 30 32|        |18.4|DN   |          |     |          |      0.275700|                   |            |239.8556| 22.3303|1      |     |          |     |          |         |        |    |         |        |13.0|         |        |    |         |        |         |          |            |          |            |          |            |       |1 |K6-8/5      |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
WW Cet      |00 11 24.8|-11 28 43|        |13.9|DN   |          |ZC   |          |      0.175800|                   |            | 90.0067|-71.7433|1      |     |          |     |          |         |        |16.2|         |        |10.5|         |        |    |         |45      |         |          |            |   591.000|            |          |            |       |2 |M2.5/5      |            |              |      2.00|               |            0.20|               |       54.0|                |              9.0|      |0.830|       |   0.160|      |0.410|       |   0.070| CV DWARF NOVA Z CAM TYPE|
J1122-1110  |11 22 53.3|-11 10 38|        |20.5|DN   |          |SU   |          |      0.045300|                   |            |270.7246| 46.0837|1      |     |          |     |          |g        |        |    |         |        |    |         |        |14.3|         |        |         |  0.045400|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0742-1049  |07 42 08.2|-10 49 32|        |16.5|     |          |     |          |      0.237800|                   |            |228.4139|  6.0939|1      |     |          |     |          |B        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |K9-M1/5     |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
HO Cet      |02 33 21.4|-10 47 04|        |18.2|DN   |          |SU   |          |      0.054900|                   |            |183.5613|-60.9926|1      |     |          |     |          |         |        |    |         |        |    |         |        |12.1|         |        |         |  0.056000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1220-1027  |12 20 59.8|-10 27 35|        |19.3|DN   |          |     |          |      0.146150|                   |            |290.8037| 51.6937|1      |     |          |     |          |r        |        |19.6|r        |        |16.6|         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
J1404-1027  |14 04 54.0|-10 27 02|        |19.1|DN   |          |SU   |          |      0.059579|                   |            |330.7590| 48.4119|1      |     |          |     |          |         |        |21.2|         |        |    |         |        |16.4|         |        |         |  0.061000|            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V1432 Aql   |19 40 11.5|-10 25 25|        |14.9|NL   |          |AM   |          |      0.140236|                   |J1940-1025  | 28.9843|-15.5036|1      |AS   |          |     |          |         |        |18.0|         |        |    |         |        |    |         |        |         |  0.140628|            |          |            |          |            |1      |1 |M4/5        |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
KQ Mon      |07 31 21.1|-10 21 50|        |13.0|NL   |          |UX   |          |      0.128000|:                  |            |226.7246|  3.9949|1      |SW   |?         |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
DH Aql      |19 26 10.8|-10 15 29|        |18.3|DN   |          |SU   |          |      0.077400|E                  |            | 27.6030|-12.3247|1      |     |          |     |          |         |        |18.5|         |        |14.0|         |        |12.4|         |66      |300      |  0.080000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
KT Eri      |04 47 54.2|-10 10 43|        |14.5|Na   |          |Nr   |?         |      0.093800|:                  |N Eri 2009  |207.9863|-32.0202|1      |     |          |     |          |B        |        |15.2|B        |        |    |         |        | 5.6|         |        |         |737.000000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV RECURRENT NOVA|
J1126-1002  |11 26 34.0|-10 02 10|        |18.0|DN   |?         |     |          |      0.077422|                   |            |271.0823| 47.5187|1      |     |          |     |          |         |        |21.0|         |        |16.0|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
J1832-1001  |18 32 51.6|-10 01 05|        |21.6|NL   |          |AM   |?         |      0.061800|                   |            | 21.9099| -0.4788|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
J2258-0949  |22 58 31.2|-09 49 32|        |15.6|DN   |          |SU   |          |      0.082900|E                  |            | 60.5635|-58.2600|1      |     |          |     |          |g        |        |    |         |        |    |         |        |12.9|         |        |         |  0.086100|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0741-0945  |07 41 12.7|-09 45 56|        |19.3|DN   |          |SU   |          |      0.075000|E                  |            |227.3707|  6.4104|1      |     |          |     |          |B        |        |    |         |        |    |         |        |14.1|         |        |         |  0.078000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
CP Eri      |03 10 32.8|-09 45 05|        |19.7|NL   |          |AC   |          |      0.019692|                   |            |191.7017|-52.9096|1      |SH   |          |     |          |         |        |19.8|         |        |16.5|         |        |    |         |        |         |  0.019863|            |          |            |          |            |       |  |            |DBAZ        |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
J0746-0934  |07 46 55.5|-09 34 31|        |14.0|DN   |?         |     |          |      0.141600|                   |            |227.8946|  7.7327|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
J0450-0931  |04 50 19.8|-09 31 13|        |20.5|AC   |          |DN   |          |      0.032830|:                  |            |207.5972|-31.1950|1      |WZ   |?         |     |          |         |        |    |         |        |    |         |        |14.8|         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
ES Cet      |02 00 52.2|-09 24 32|        |16.7|NL   |          |AC   |          |      0.007178|                   |Cet 3       |168.9683|-65.8634|1      |     |          |     |          |         |        |17.0|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
UU Aql      |19 57 18.7|-09 19 21|        |16.0|DN   |          |UG   |          |      0.163532|                   |            | 31.9262|-18.8344|1      |     |          |     |          |         |        |17.0|         |        |11.0|         |        |    |         |48      |         |          |            |          |            |          |            |       |  |M4/5        |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA U GEM TYPE|
