name                 |optical_name|ra         |dec        |porb   |fx_limit|fx      |fx_max |xray_type|lii      |bii      |position_type|ref_optical|vmag_limit|vmag |vmag_min|vmag_flag|bv_color|bv_color_flag|bv_color_max|ub_color|reddening|reddening_max|reddening_flag|ref_photometry |jmag  |hmag_limit|hmag  |kmag_limit|kmag  |fx_range      |ref_fx     |porb_flag|pulse_per |pulse_per_flag|ref_periods|spect_type  |alt_name_1           |alt_name_1_flag|alt_name_2  |alt_name_3|class                                  |
SAX J0635.2+0533     |            |06 35 18.29|+05 33 06.3| 11.200|        |    0.55|       |P        |206.15276| -1.04229|O            |363        |          |12.83|        |         |    0.98|             |            |        |     1.20|             |              |363            |      |          |      |          |      |              |363        |         |    0.0338|              |151,364    |B2V-B1IIIe  |SAX J0635+0533       |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
4U 1909+07           |No. A       |19 10 48.20|+07 35 52.3|  4.400|        |    1.00|    7.0|P        | 41.89715| -0.81151|IR           |533        |          |     |        |         |        |             |            |        |         |             |              |533            |13.228|          |11.457|          |10.480|              |824        |         |  604.6800|              |824,428    |            |OI7.5-9.5            |               |X1908+075   |          |                     HMXRB X-RAY PULSAR|
XTE J1859+083        |            |18 59 06.00|+08 15 00.0|       |        |    8.00|       |T, P     | 41.14664|  2.06249|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |474        |         |    9.8010|              |474        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
XTE J1906+09         |star        |19 04 47.48|+09 02 41.8|       |        |    0.30|    5.0|P, T     | 42.49725|  1.17483|O            |240        |          |     |        |         |        |             |            |        |         |             |              |               |15.180|          |14.170|          |13.500|              |839        |         |   89.1700|              |473        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
4U 1907+09           |star        |19 09 39.30|+09 49 45.0|  8.380|        |    4.00|  275.0|P, T, C  | 43.74539|  0.47045|O            |696        |          |16.40|        |         |    3.20|             |            |        |     3.45|             |              |144,696        |      |          |      |          |      |              |64         |         |  438.0000|              |458,477    |O8-9 Ia     |H 1907+097           |               |            |          |          HMXRB SUPERGIANT X-RAY PULSAR|
IGR J19140+0951      |            |19 14 04.20|+09 52 58.3| 13.558|        |   75.00|  100.0|         | 44.29629| -0.46868|X            |344        |          |     |        |         |        |             |            |        |         |             |              |344            | 8.550|          | 7.670|          | 7.060|(1--20 keV)   |670        |         |          |              |140        |            |IGR J19140+098       |               |            |          |                                  HMXRB|
IGR J06074+2205      |            |06 07 26.60|+22 05 48.3|       |        |    7.00|       |T        |188.38516|  0.81378|O            |           |          |     |        |         |        |             |            |        |         |             |              |272            |10.490|          |10.190|          | 9.960|(3--10 keV)   |88         |         |          |              |           |Be          |                     |               |            |          |                          HMXRB BE STAR|
1A 0535+262          |V725 Tau    |05 38 54.60|+26 18 57.0|111.000|&lt;       |    3.00| 2800.0|T, P, C  |181.44505| -2.64342|O            |429        |          | 8.90|    9.60|         |    0.45|             |        0.62|   -0.54|     0.80|             |              |228,465,726,734| 8.368|          | 8.272|          | 8.157|              |64         |         |  104.0000|              |547,616    |O9.7IIIe    |H 0535+262           |               |HD 245770   |          |             HMXRB BE STAR X-RAY PULSAR|
XTE J1946+274        |No. A       |19 45 39.30|+27 21 55.4|169.200|&lt;       |    1.00|   25.0|P, T, C  | 63.20703|  1.39573|O            |802        |          |16.90|        |         |    1.72|             |            |        |     1.90|          2.2|              |802            |12.539|          |11.831|          |11.333|(2--60 keV)   |745        |         |   15.8000|              |841,711    |B0-1 IV-Ve  |GRO J1944+26         |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
1H 0556+286          |HD 249179   |05 55 55.10|+28 47 06.0|       |        |    1.10|       |         |181.28416|  1.85966|O            |           |          | 9.20|        |         |        |             |            |        |         |             |              |608,778        | 9.366|          | 9.238|          | 9.068|              |850        |         |          |              |           |B5ne        |                     |               |            |          |                          HMXRB BE STAR|
KS 1947+300          |No. 3       |19 49 30.50|+30 12 24.0| 40.400|&lt;       |   10.00|  375.0|P, T     | 66.08802|  2.09797|O            |248        |          |14.24|        |         |    0.93|             |            |   -0.09|     1.09|             |              |559            |11.670|          |11.430|          |11.210|              |59         |         |   18.7000|              |82,223     |B0Ve        |GRO J1948+32         |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
4U 0352+309          |X Per       |03 55 23.00|+31 02 59.0|250.300|&lt;       |    9.00|   37.0|P, C     |163.07842|-17.13350|O            |65         |          | 6.00|    6.60|         |    0.29|             |            |   -0.82|     0.40|             |              |319,451,528,710| 6.149|          | 6.073|          | 5.920|              |64         |         |  835.0000|              |162,547    |B0Ve        |                     |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
4U 1956+35           |HD 226868   |19 58 21.70|+35 12 06.0|  5.000|        |  235.00| 1320.0|U, R     | 71.33508|  3.06680|O,R          |624        |          | 8.90|        |         |    0.84|             |            |   -0.26|     1.06|             |              |124,157,564    | 6.872|          | 6.652|          | 6.501|              |64         |         |          |              |231        |O9.7 Iab    |Cyg X-1              |               |V1357 Cyg   |          |                       HMXRB SUPERGIANT|
EXO 2030+375         |No. 2       |20 32 15.20|+37 38 15.0| 46.020|&lt;       |    0.50| 1400.0|P, T     | 77.15175| -1.24157|O            |114,535    |          |19.70|        |         |    3.30|             |            |        |     3.80|             |              |114,535        |12.050|          |10.835|          |10.074|              |587        |         |   41.8000|              |547,587,739|B0Ve        |                     |               |V2246 Cyg   |          |             HMXRB BE STAR X-RAY PULSAR|
