name        |ra        |dec      |lim_mag1|mag1|type1|orbital_period|orbital_period_flag|lim_lx_lopt|lx_lopt|period2  |period2_flag|period3    |period3_flag|period4|eclipse|lim_mass_ratio|mass_ratio|lim_inclination|inclination|inclination_flag|inclination_error|m1   |m1_flag|m1_error|lim_m2|m2    |m2_flag|m2_error|class                 |
LZ Aqr      |21 23 14.5|-05 47 53|        |21.7|XT   |      0.248170|                   |           |       |         |            |           |            |       |1      |              |      2.78|               |       72.5|                |              0.7| 1.30|       |    0.24|      | 0.600|       |   0.240|         LMXRB BURSTER|
V1405 Aql   |19 18 47.8|-05 14 17|        |21.5|XB   |      0.034730|                   |           |10000.0| 0.035041|            |  0.0037000|            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
J1753-0127  |17 53 28.3|-01 37 06|&gt;       |21.0|XT   |      0.125000|*                  |           |       | 0.135180|            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
V616 Mon    |06 22 44.4|-00 20 45|        |17.9|XT   |      0.323014|                   |           |  200.0|         |            |           |            |       |       |              |     16.10|               |       51.0|                |              0.9| 6.64|       |    0.25|      | 0.400|       |   0.010|      LMXRB BLACK HOLE|
1822-0002   |18 25 22.0|-00 00 44|        |21.6|     |      0.133000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V1333 Aql   |19 11 15.9|+00 35 06|        |21.6|XT   |      0.789500|                   |           |  900.0|         |            |  0.0018200|            |       |       |              |          |               |           |                |                 | 1.23|       |    0.12|      |      |       |        |         LMXRB BURSTER|
AY Sex      |10 23 47.7|+00 38 41|        |17.3|XT   |      0.198096|                   |           |       |         |            |  0.0016880|            |       |1      |              |      7.10|&lt;              |       55.0|:               |                 | 1.71|       |    0.16|      |      |       |        |                 LMXRB|
MM Ser      |18 39 57.6|+05 02 10|        |19.0|AS   |      0.086000|:                  |           | 1200.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V1055 Ori   |06 17 07.3|+09 08 13|        |18.4|XB   |      0.033713|:                  |           | 1200.0| 0.035000|:           |  0.0024100|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V1487 Aql   |19 15 11.5|+10 56 45|        |23.4|XT   |     33.900000|                   |           |       |31.400000|            |           |            |       |       |              |     24.00|               |       66.0|                |              2.0|10.10|       |    0.60|      | 0.470|       |   0.270|      LMXRB BLACK HOLE|
V1408 Aql   |19 59 24.0|+11 42 30|        |18.7|BH   |      0.388879|                   |           |  800.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
AC 211      |21 29 58.4|+12 10 01|        |15.6|GC   |      0.713010|                   |           |   20.0|         |            |           |            |       |       |              |     10.00|               |       90.0|:               |                 | 1.40|:      |        |      | 0.150|:      |        |LMXRB GLOBULAR CLUSTER|
NGC 7078-X2 |21 29 58.1|+12 10 03|        |19.0|GC   |      0.015681|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |LMXRB GLOBULAR CLUSTER|
J1047+1234  |10 47 50.0|+12 34 57|        |    |XT   |      0.525000|                   |           |       |         |            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
V406 Vul    |18 58 41.7|+22 39 30|        |23.3|XT   |      0.274000|                   |           |       | 0.383400|            |           |            |       |       |              |          |               |           |                |                 | 5.40|       |        |      |      |       |        |                 LMXRB|
QZ Vul      |20 02 49.4|+25 14 11|        |21.0|XT   |      0.344087|                   |           |       | 0.347400|            |           |            |       |       |              |     24.00|               |       64.0|                |              1.3| 7.50|       |    0.30|      | 0.330|       |   0.080|      LMXRB BLACK HOLE|
UW CrB      |16 05 45.7|+25 51 45|        |19.7|DC   |      0.077067|                   |           |   16.0| 0.078300|            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
J1242+3232  |12 42 16.1|+32 32 50|        |    |UL   |      0.170000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
V518 Per    |04 21 42.8|+32 54 27|        |22.4|XT   |      0.212160|                   |           |       | 0.215900|            |           |            |       |       |              |      8.80|               |       45.0|                |              2.0| 3.97|       |    0.95|      | 0.460|       |   0.310|      LMXRB BLACK HOLE|
0042+3244   |00 44 48.8|+33 00 33|        |18.8|XT   |     11.600000|:                  |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V404 Cyg    |20 24 03.8|+33 52 03|        |19.2|XT   |      6.471400|                   |           |       | 0.235850|            |           |            |       |       |              |     16.70|               |       56.0|                |              4.0|10.00|       |    2.00|      | 0.650|       |   0.250|      LMXRB BLACK HOLE|
V1341 Cyg   |21 44 41.1|+38 19 18|        |14.1|ZS   |      9.844500|                   |           |  140.0|         |            |           |            |       |       |              |      2.94|               |       62.5|                |              4.0| 1.71|       |    0.21|      | 0.580|       |   0.080|         LMXRB BURSTER|
J0043+4107  |00 43 14.4|+41 07 26|        |    |GC   |      0.115900|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |LMXRB GLOBULAR CLUSTER|
J0043+4112  |00 43 08.7|+41 12 48|        |    |     |      0.074000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
J0042+4118  |00 42 07.7|+41 18 16|        |    |EG   |      0.124000|:                  |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
M 51 X-7    |13 30 01.0|+47 13 44|        |    |UL   |      0.069000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V1727 Cyg   |21 31 26.2|+47 17 25|        |18.0|DC   |      0.218259|                   |           |   30.0|         |            |           |            |       |1      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
KV UMa      |11 18 10.9|+48 02 13|        |19.5|XT   |      0.169934|                   |           |       | 0.170600|            |           |            |       |       |              |     42.00|               |       73.5|                |              5.5| 7.29|       |    0.52|      | 0.180|       |   0.060|      LMXRB BLACK HOLE|
V1037 Cas   |00 29 03.1|+59 34 19|        |24.0|XT   |      0.102362|                   |           |       |         |            |  0.0016700|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |    LMXRB X-RAY PULSAR|
